CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50096301,DOUBLE RED INC,Brooklyn,1818,AVENUE U,11229,3473745417,Chinese,43900,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,10,A,43900,44084,Pre-permit (Operational) / Initial Inspection,40.59916144,-73.95328794,315,48,57800,3199701,3073510008,BK44
50099434,NOWON,Manhattan,507,EAST    6 STREET,10009,5166607858,Korean,43851,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,43851,44084,Pre-permit (Operational) / Initial Inspection,40.72528408,-73.98350499,103,2,3200,1005116,1004020062,MN22
41283156,BUCEO 95,Manhattan,201,WEST   95 STREET,10025,2126627010,Spanish,43896,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,11,A,43896,44084,Cycle Inspection / Initial Inspection,40.79346416,-73.97104988,107,6,18300,1033697,1012430029,MN12
50014882,The Big Whiskey,Brooklyn,524,GRAND STREET,11211,3477254386,American,43867,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,12,A,43867,44084,Cycle Inspection / Initial Inspection,40.71101817,-73.95029475,301,34,51300,3256427,3027850013,BK73
41046685,CREPES ON COLUMBUS,Manhattan,990,COLUMBUS AVENUE,10025,2122220259,French,43882,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,43882,44084,Cycle Inspection / Initial Inspection,40.80099573,-73.96159411,107,7,19300,1079465,1018630029,MN09
50099032,CAFE METRO,Manhattan,2062,BROADWAY,10023,2123531234,American,43874,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,A,43874,44084,Pre-permit (Operational) / Initial Inspection,40.77794484,-73.9820765,107,6,15700,1029873,1011430001,MN14
50070263,TAIM WEST VILLAGE,Manhattan,222,WAVERLY PLACE,10014,2126910161,Mediterranean,43838,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,9,A,43838,44084,Cycle Inspection / Re-inspection,40.73596514,-74.00183668,102,3,7300,1010919,1006130028,MN23
50086042,SONEROS NIGHT CLUB BAR,Queens,9202,CORONA AVE,11373,9177498127,Spanish,43874,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,43874,44084,Cycle Inspection / Initial Inspection,40.74243202,-73.8722172,404,25,46100,4046002,4018620001,QN29
40528297,VIA ITALIA RISTORANTE,Manhattan,45,WEST   46 STREET,10036,2123986866,Italian,43832,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,6,A,43832,44084,Cycle Inspection / Initial Inspection,40.75666175,-73.98051932,105,4,9600,1034320,1012620017,MN17
50065159,DELFINI,Bronx,500,TIFFANY STREET,10474,7189911337,American,43872,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,9,A,43872,44084,Cycle Inspection / Initial Inspection,40.80990567,-73.89009879,202,17,9300,2006786,2027680171,BX27
50064538,LA ABUNDANCIA RESTAURANT & BAKERY,Queens,37-01,JUNCTION BOULEVARD,11368,7185939445,Spanish,43836,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,43836,44084,Cycle Inspection / Re-inspection,40.75125194,-73.87065907,403,21,37500,4043836,4017590001,QN26
40400544,THE ARCH DINER,Brooklyn,1866,RALPH AVENUE,11236,7185313718,American,43873,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,43873,44084,Cycle Inspection / Re-inspection,40.63119558,-73.91852073,318,46,72000,3214959,3077630080,BK58
50066319,ASTORIA PROVISIONS,Queens,1223,ASTORIA BLVD,11102,2038144405,American,43843,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43843,44084,Cycle Inspection / Initial Inspection,40.7721197,-73.92994057,401,22,8300,4005578,4005110001,QN71
41677480,FUSION HK BAR-GRILL,Manhattan,688,10 AVENUE,10019,2129560185,Mexican,43837,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,43837,44084,Cycle Inspection / Initial Inspection,40.76355799,-73.99258885,104,3,12700,1026580,1010580002,MN15
50046906,NETS PRACTICE FACILITY,Brooklyn,168,39 STREET,11232,7182152323,American,43839,Violations were cited in the following area(s).,10J,"""""Wash hands” sign not posted at hand wash facility.",N,11,A,43839,44084,Cycle Inspection / Initial Inspection,40.65575412,-74.01131674,307,38,1800,3337105,3007060001,BK32
41395716,EMPORIO,Manhattan,231,MOTT STREET,10012,2129661234,Italian,43886,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,43886,44084,Cycle Inspection / Initial Inspection,40.72252942,-73.99511881,102,1,4300,1007496,1004940024,MN24
50091646,LOS CABOS CANTINA AND RESTAURANT,Brooklyn,4015,5 AVENUE,11232,7189723756,Spanish,43845,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,10,A,43845,44084,Pre-permit (Operational) / Re-inspection,40.65055322,-74.00462725,307,38,8800,3017968,3009170004,BK34
50103722,ONCE MORE THAI,Manhattan,6,CLINTON STREET,10002,2122288858,Thai,43906,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,43906,44084,Pre-permit (Operational) / Initial Inspection,40.72110387,-73.98400388,103,2,2201,1004264,1003500050,MN28
50077543,WOODPECKER BY DAVID BURKE,Manhattan,1216,BROADWAY,10001,6463987664,American,43894,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,43894,44084,Cycle Inspection / Initial Inspection,40.74660876,-73.98847288,105,4,7600,1080723,1008310059,MN17
50033659,NEW CREAT TAYSTEE GARDENS,Queens,8118,LEFFERTS BLVD,11415,7188492288,Chinese,43846,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,13,A,43846,44084,Cycle Inspection / Initial Inspection,40.70897924,-73.8302642,409,29,77500,4079701,4033370038,QN60
50097841,JIN DING XUAN,Queens,57-33,MAIN STREET,11355,7183535791,Chinese,43881,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Y,11,A,43881,44084,Pre-permit (Operational) / Re-inspection,40.74581596,-73.8260269,407,20,79900,4140069,4064010003,QN62
40746560,BOWLERO,Queens,6910,34 AVENUE,11377,7186510440,American,43865,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,43865,44084,Cycle Inspection / Re-inspection,40.7524752,-73.8968567,403,25,29100,4028777,4012560001,QN28
50096254,LA PALAPA TACO BAR,Manhattan,600,11 AVENUE,10036,2127577774,Spanish,43839,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,13,A,43839,44084,Pre-permit (Operational) / Initial Inspection,40.76245206,-73.99712295,104,3,12900,1083785,1010737501,MN15
50056653,MUSCLE MAKER GRILL,Manhattan,70,7 AVENUE,10011,2128071000,American,43838,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,N,13,A,43838,44084,Cycle Inspection / Initial Inspection,40.73902831,-73.99934685,104,3,8100,1013734,1007640039,MN13
50052865,PRINTERS ALLEY,Manhattan,215,WEST   40 STREET,10018,2126349100,American,43857,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,N,12,A,43857,44084,Cycle Inspection / Initial Inspection,40.75504891,-73.98859414,105,3,11300,1024644,1010120023,MN17
40365355,NEW CORNER,Brooklyn,7201,8 AVENUE,11228,7188330800,Italian,43873,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,12,A,43873,44084,Cycle Inspection / Initial Inspection,40.62858286,-74.0167196,310,43,13200,3147565,3059120009,BK30
50056669,WESTVILLE,Brooklyn,81,WASHINGTON STREET,11201,7186185699,American,43900,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,43900,44084,Cycle Inspection / Initial Inspection,40.70196525,-73.98964555,302,33,2100,3335876,3000510001,BK38
50065420,IL CARINO RESTAURANT,Manhattan,1710,2 AVENUE,10128,9173254192,Italian,43902,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43902,44084,Cycle Inspection / Re-inspection,40.77957967,-73.9504889,108,5,14602,1050102,1015510052,MN32
50090321,FIELDTRIP,Manhattan,109,LENOX AVENUE,10026,3013432788,American,43887,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,12,A,43887,44084,Pre-permit (Operational) / Re-inspection,40.80167468,-73.94994506,110,9,21800,1055046,1018250029,MN11
50059253,CHINESE RESTAURANT,Queens,4626,KISSENA BLVD,11355,9175637135,Chinese,43837,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,13,A,43837,44084,Cycle Inspection / Re-inspection,40.7500395,-73.81851955,407,20,84500,4314742,4051490138,QN22
40401742,MCDONALD'S,Queens,221-12,SOUTH CONDUIT AVENUE,11413,7182766230,American,43906,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,4,A,43906,44084,Cycle Inspection / Initial Inspection,40.66548728,-73.75664689,413,31,68000,4287053,4134910031,QN03
50049831,BARNEY BROWN,Manhattan,822,AVENUE OF THE AMERICAS,10001,2126349114,American,43843,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,10,A,43843,44084,Cycle Inspection / Initial Inspection,40.74629328,-73.99031351,105,3,7600,1015711,1008300004,MN17
41528976,FAMILY KITCHEN,Brooklyn,1709,FOSTER AVENUE,11230,7188590283,Chinese,43885,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,8,A,43885,44084,Cycle Inspection / Initial Inspection,40.63500302,-73.96112796,314,40,51800,3120550,3052170034,BK42
41486993,BLACK MOUNTAIN,Brooklyn,415,UNION STREET,11231,7185224340,American,43900,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,8,A,43900,44084,Cycle Inspection / Re-inspection,40.68066321,-73.99139749,306,39,7500,3323354,3004300078,BK33
50077544,Clean Market,Manhattan,240,EAST   54 STREET,10022,2069140052,American,43868,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,12,A,43868,44084,Cycle Inspection / Initial Inspection,40.75789406,-73.9679467,106,4,9800,1038563,1013270029,MN19
50088158,XIANG HOTPOT,Brooklyn,5816,FORT HAMILTON PARKWAY,11219,7188515888,Chinese,43845,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,9,A,43845,44084,Cycle Inspection / Re-inspection,40.63393358,-74.00430183,312,38,11600,3140591,3057017501,BK88
50086521,SOLLETTO,Queens,2366,STEINWAY ST,11105,3478669997,Greek,43840,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,A,43840,44084,Pre-permit (Operational) / Initial Inspection,40.76963552,-73.90999659,401,22,11700,4015729,4008030073,QN72
50053175,CASA APICII,Manhattan,62,WEST    9 STREET,10011,9175730571,Italian,43895,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,9,A,43895,44084,Cycle Inspection / Re-inspection,40.73395323,-73.99858554,102,3,6300,1009411,1005720011,MN23
50084540,BOMBAY CHOWK,Manhattan,1378,1 AVENUE,10021,2122494111,Indian,43859,Violations were cited in the following area(s).,10J,"""""Wash hands” sign not posted at hand wash facility.",N,10,A,43859,44084,Cycle Inspection / Initial Inspection,40.76883865,-73.95522628,108,5,12400,1045889,1014680047,MN31
50085483,PANDA GARDEN,Queens,215-10,NORTHERN BOULEVARD,11361,7182258899,Chinese,43893,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,9,A,43893,44084,Cycle Inspection / Re-inspection,40.76054423,-73.76710949,411,19,147100,4157401,4073340001,QN46
50099969,THE CONSULATE,Manhattan,519,COLUMBUS AVENUE,10024,6467819288,French,43902,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,43902,44084,Pre-permit (Operational) / Initial Inspection,40.78589726,-73.97258791,107,6,16900,1031349,1011990001,MN12
50013558,ROWE STUDIOS LOUNGE,Manhattan,410,WEST   42 STREET,10036,2125825472,American,43874,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,10,A,43874,44084,Cycle Inspection / Re-inspection,40.75864491,-73.99318499,104,3,11500,1026330,1010510029,MN15
41400630,SAFFRON,Queens,161-50,CROSSBAY BOULEVARD,11414,3473924152,Spanish,43901,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43901,44084,Cycle Inspection / Re-inspection,40.65497437,-73.83884996,410,32,89200,4294016,4140480083,QN57
41272855,BOBO RESTAURANT,Manhattan,181,WEST   10 STREET,10014,2124882626,French,43894,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,12,A,43894,44084,Cycle Inspection / Re-inspection,40.73429081,-74.00272428,102,3,7300,1010840,1006110041,MN23
40394762,CAROLINE'S ON BROADWAY,Manhattan,750,7 AVENUE,10019,2127574100,American,43883,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,5,A,43883,44084,Cycle Inspection / Initial Inspection,40.76074642,-73.98352505,105,4,12500,1024795,1010210026,MN17
50060612,MEXICUE,Manhattan,160,8TH AVE,10011,6466493133,Mexican,43871,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Y,13,A,43871,44084,Cycle Inspection / Re-inspection,40.74215459,-74.00075784,104,3,8100,1013859,1007670071,MN13
50005523,BAGELS PLUS,Brooklyn,7501,NEW UTRECHT AVENUE,11214,7182321404,American,43872,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,13,A,43872,44084,Cycle Inspection / Re-inspection,40.61564792,-73.99996758,311,43,26400,3160173,3062250046,BK28
50038288,IPANEMA RESTAURANT,Manhattan,43,WEST   46 STREET,10036,2127305848,Brazilian,43888,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,43888,44084,Cycle Inspection / Initial Inspection,40.75664252,-73.9804724,105,4,9600,1082697,1012620117,MN17
50046906,NETS PRACTICE FACILITY,Brooklyn,168,39 STREET,11232,7182152323,American,43839,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,11,A,43839,44084,Cycle Inspection / Initial Inspection,40.65575412,-74.01131674,307,38,1800,3337105,3007060001,BK32
40928416,JOY INDIAN RESTAURANT,Brooklyn,301,FLATBUSH AVENUE,11217,7182301165,Indian,43837,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,13,A,43837,44084,Cycle Inspection / Re-inspection,40.67889013,-73.97368482,308,35,16100,3028331,3011500003,BK64
50100558,GORDOS CANTINA,Brooklyn,140,SAINT NICHOLAS AVENUE,11237,9179479208,Mexican,43852,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43852,44084,Pre-permit (Operational) / Re-inspection,40.70504584,-73.91746712,304,37,44500,3073953,3032490033,BK77
41683961,BURGER URWAY,Brooklyn,154,ADELPHI STREET,11205,3472940650,American,43833,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,43833,44084,Cycle Inspection / Initial Inspection,40.69284137,-73.97181135,302,35,18300,3058329,3020730028,BK68
50017442,TRUVA CAFE & GRILL,Queens,22-41,31 STREET,11105,7189326400,Mediterranean,43866,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43866,44084,Cycle Inspection / Re-inspection,40.77521974,-73.91178707,401,22,11500,4017052,4008330019,QN72
41587378,LOBSTER JOINT,Brooklyn,1073,MANHATTAN AVENUE,11222,7183898990,American,43844,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,12,A,43844,44084,Cycle Inspection / Initial Inspection,40.7353937,-73.95512255,301,33,56300,3063824,3024950047,BK76
50083344,RICO CHIMI,Queens,8001,ATLANTIC AVE,11421,3476445343,Spanish,43899,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,13,A,43899,44084,Cycle Inspection / Re-inspection,40.68485487,-73.86039329,409,32,800,4185132,4089600038,QN53
50067555,SABOR GUATEMALTECO,Queens,10316,ROOSEVELT AVE,11368,3474443752,Spanish,43837,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,43837,44084,Cycle Inspection / Re-inspection,40.74953801,-73.86254181,404,21,40500,4048557,4019750009,QN26
50061060,TEXAS CHICKEN & BURGERS,Bronx,3275,WESTCHESTER AVENUE,10461,6467758513,American,43888,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9,A,43888,44084,Cycle Inspection / Initial Inspection,40.85266075,-73.82770196,210,13,30000,2047750,2042490001,BX10
50094594,FAN SHUN CHINESE RESTAURANT,Queens,6359,108TH ST,11375,7188977438,Chinese,43865,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,N,5,A,43865,44084,Cycle Inspection / Re-inspection,40.73342678,-73.84984516,406,29,74300,4051602,4021690001,QN17
50034716,GREEN GARDEN,Staten Island,752,FOREST AVENUE,10310,7188150161,Chinese,43838,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,9,A,43838,44084,Cycle Inspection / Re-inspection,40.62913625,-74.1144443,501,49,12100,5008061,5003000076,SI35
50060498,AROQA,Manhattan,206,9 AVENUE,10011,6466785471,Indian,43889,Violations were cited in the following area(s).,10J,"""""Wash hands” sign not posted at hand wash facility.",N,8,A,43889,44084,Cycle Inspection / Initial Inspection,40.74622506,-74.00150133,104,3,9300,1013376,1007460079,MN13
41095221,GREEK ISLANDS,Queens,253-17,NORTHERN BOULEVARD,11362,7182795922,Greek,43872,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,43872,44084,Cycle Inspection / Initial Inspection,40.77086156,-73.73533851,411,19,147900,4169406,4081320049,QN45
50089951,TORNADO CREPE,Queens,1808,WEIRFIELD STREET,11385,3478962169,French,43866,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43866,44084,Cycle Inspection / Initial Inspection,40.70023366,-73.90271541,405,34,55700,4086226,4035730011,QN20
41570661,COZY DINER & CAFE,Queens,14-09,150 STREET,11357,7187674949,Greek,43902,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,43902,44084,Cycle Inspection / Re-inspection,40.7885133,-73.81367266,407,19,98700,4106236,4046780124,QN49
